id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,preco_por_area,CARO,CARO_B
7853210060,20150406T000000,430000,4,2.5,2070,4310,2,0,0,3,7,2070,0,2004,0,98065,47.5319,-121.85,1970,3748,207.729468599034,TRUE,1
7994700030,20141023T000000,201000,5,1.75,1660,78408,1.5,0,0,3,6,1660,0,1915,0,98065,47529,-121837,1660,78408,121.084337349398,FALSE,0
7852110140,20140718T000000,552250,4,2.5,2580,5823,2,0,0,3,8,2580,0,2002,0,98065,47.5374,-121875,2380,5823,214.050387596899,TRUE,1
7852030960,20141106T000000,437500,3,2.5,2120,4500,2,0,0,3,7,2120,0,2000,0,98065,47.5322,-121.88,2530,4816,206.367924528302,FALSE,0
7852170140,20150510T000000,650000,4,2.5,3180,5438,2,0,0,3,9,3180,0,2003,0,98065,47.5416,-121864,3030,5335,204.40251572327,FALSE,0
3624079046,20141028T000000,460000,4,3,2230,108900,1,0,0,3,7,1410,820,1978,0,98065,47.52,-121845,1960,65340,206.27802690583,FALSE,0
7853240200,20140516T000000,619000,3,2.5,2720,6439,2,0,0,3,9,2720,0,2005,0,98065,47.5422,-121.86,3180,7320,227.573529411765,TRUE,1
7852180340,20140930T000000,430000,3,2.5,2360,6699,2,0,0,3,7,2360,0,2003,0,98065,47.5317,-121853,2360,4744,182.203389830508,FALSE,0
7849202231,20140723T000000,337000,3,2.5,1470,3976,2,0,0,3,7,1470,0,1999,0,98065,47526,-121826,1490,4400,229.251700680272,TRUE,1
7852070060,20140731T000000,1145000,4,3.5,4370,18361,2,0,0,3,11,4370,0,2001,0,98065,47544,-121872,4190,13641,262.013729977117,TRUE,1
7853290030,20150311T000000,507000,4,2.5,2730,7649,2,0,0,3,7,2730,0,2006,0,98065,47.5441,-121882,2730,6216,185.714285714286,FALSE,0
7852020640,20141020T000000,470000,3,2.5,2100,4700,2,0,0,3,8,2100,0,1999,0,98065,47.5341,-121867,2100,4700,223.809523809524,TRUE,1
7853340860,20150310T000000,420000,2,2.75,1760,4139,2,0,0,3,8,1760,0,2010,0,98065,47.5175,-121878,1870,3076,238.636363636364,TRUE,1
7852090810,20141119T000000,515000,3,2.5,2430,4203,2,0,0,3,8,2430,0,2001,0,98065,47.5346,-121875,2500,4798,211.934156378601,TRUE,1
7853210140,20150309T000000,359000,3,2.5,1450,3850,2,0,0,3,7,1450,0,2004,0,98065,47.5318,-121.85,1970,3748,247.586206896552,TRUE,1
7852030240,20150408T000000,485500,4,2.5,2320,3974,2,0,0,3,7,2320,0,1999,0,98065,47532,-121.88,2620,4539,209.26724137931,TRUE,1
7852180560,20150424T000000,403000,3,2.5,1700,4125,2,0,0,3,7,1700,0,2004,0,98065,47.5305,-121854,1970,4105,237.058823529412,TRUE,1
7852030320,20150217T000000,470000,3,2.5,2620,4874,2,0,0,3,7,2620,0,1999,0,98065,47.5328,-121879,2360,4231,179.389312977099,FALSE,0
7852160070,20150105T000000,937500,5,3.75,4210,14599,2,0,3,3,10,4210,0,2004,0,98065,47.5364,-121858,3950,13591,222.684085510689,TRUE,1
7853300070,20140818T000000,539950,5,3,3100,5250,2,0,0,3,7,3100,0,2006,0,98065,47.5369,-121888,2460,5250,174.177419354839,FALSE,0
